id,name,approach,services,length,planning_time,execution_time,total_time,messages_size,input_size
doa_1,request_1,doa,100,5,0,90,90,1046,487
doa_2,request_11,doa,100,5,0,83,83,1047,490
doa_3,request_2,doa,100,5,0,106,106,1046,487
doa_4,request_15,doa,100,5,0,75,75,1047,490
doa_5,request_6,doa,100,5,0,86,86,1046,398
doa_7,request_17,doa,100,5,0,94,94,1047,401
doa_8,request_5,doa,100,5,0,77,77,1046,488
doa_9,request_14,doa,100,5,0,106,106,1047,400
doa_10,request_0,doa,100,5,0,83,83,1049,487
doa_11,request_1,doa,100,10,0,76,76,1049,755
doa_12,request_18,doa,100,10,0,80,80,1050,757
doa_13,request_13,doa,100,10,0,99,99,1050,668
doa_14,request_16,doa,100,10,0,78,78,1050,579
doa_15,request_4,doa,100,10,0,101,101,1049,666
doa_16,request_15,doa,100,10,0,73,73,1050,669
doa_17,request_12,doa,100,10,0,86,86,1050,758
doa_18,request_2,doa,100,10,0,82,82,1049,666
doa_19,request_11,doa,100,10,0,85,85,1050,669
doa_20,request_0,doa,100,10,0,78,78,1049,666
doa_21,request_3,doa,100,15,0,100,100,1049,848
doa_22,request_13,doa,100,15,0,108,108,1050,760
doa_23,request_18,doa,100,15,0,74,74,1050,760
doa_24,request_11,doa,100,15,0,106,106,1050,849
doa_25,request_8,doa,100,15,0,80,80,1049,758
doa_26,request_5,doa,100,15,0,110,110,1049,847
doa_27,request_9,doa,100,15,0,76,76,1049,937
doa_28,request_17,doa,100,15,0,200,200,1418,759
doa_29,request_10,doa,100,15,0,108,108,1050,849
doa_30,request_0,doa,100,15,0,79,79,1049,847
doa_31,request_19,doa,100,20,0,212,212,1418,939
doa_32,request_6,doa,100,20,0,145,145,1417,1028
doa_33,request_17,doa,100,20,0,88,88,1050,1029
doa_34,request_14,doa,100,20,0,177,177,1418,940
doa_35,request_11,doa,100,20,0,145,145,1418,1030
doa_36,request_4,doa,100,20,0,146,146,1417,938
doa_37,request_3,doa,100,20,0,153,153,1417,1028
doa_38,request_0,doa,100,20,0,164,164,1417,938
doa_39,request_18,doa,100,20,0,100,100,1050,939
doa_40,request_8,doa,100,20,0,226,226,1417,939
conversation_41,request_1,conversation,100,5,35,181,216,3384,1793
conversation_42,request_11,conversation,100,5,35,133,168,3386,1801
conversation_43,request_2,conversation,100,5,31,122,153,3384,1793
conversation_44,request_15,conversation,100,5,32,132,164,3386,1801
conversation_45,request_6,conversation,100,5,33,135,168,3384,1791
conversation_46,request_12,conversation,100,5,33,138,171,3385,1792
conversation_47,request_17,conversation,100,5,32,134,166,3386,1799
conversation_48,request_5,conversation,100,5,34,134,168,3385,1798
conversation_49,request_14,conversation,100,5,33,129,162,3385,1794
conversation_50,request_0,conversation,100,5,33,131,164,3384,1793
conversation_51,request_1,conversation,100,10,66,272,338,7160,3619
conversation_52,request_18,conversation,100,10,63,273,336,7164,3629
