id,name,approach,services,length,planning_time,execution_time,total_time,messages_size,input_size
doa_1,request_5_5,doa,10,1,0,50,50,592,232
doa_2,request_7_7,doa,10,1,0,88,88,592,232
doa_3,request_2_2,doa,10,1,0,48,48,592,232
doa_4,request_1_1,doa,10,1,0,53,53,592,232
doa_5,request_9_9,doa,10,1,0,69,69,592,232
doa_6,request_2_3,doa,10,2,0,93,93,952,232
doa_7,request_5_6,doa,10,2,0,88,88,952,232
doa_8,request_1_2,doa,10,2,0,76,76,952,232
doa_9,request_6_7,doa,10,2,0,94,94,952,232
doa_10,request_4_5,doa,10,2,0,118,118,952,232
doa_11,request_7_9,doa,10,3,0,151,151,1312,232
doa_12,request_9_1,doa,10,3,0,129,129,1312,232
doa_13,request_1_3,doa,10,3,0,108,108,1312,232
doa_14,request_5_7,doa,10,3,0,129,129,1312,232
doa_15,request_6_8,doa,10,3,0,122,122,1312,232
doa_16,request_8_1,doa,10,4,0,207,207,1672,232
doa_17,request_4_7,doa,10,4,0,201,201,1672,232
doa_18,request_3_6,doa,10,4,0,194,194,1672,232
doa_19,request_6_9,doa,10,4,0,199,199,1672,232
doa_20,request_1_4,doa,10,4,0,162,162,1672,232
doa_21,request_5_9,doa,10,5,0,235,235,2032,232
doa_22,request_8_2,doa,10,5,0,224,224,2032,232
doa_23,request_6_10,doa,10,5,0,212,212,2032,232
doa_24,request_3_7,doa,10,5,0,201,201,2032,232
doa_25,request_4_8,doa,10,5,0,279,279,2032,232
conversation_26,request_5_5,conversation,10,1,9,49,58,385,232
conversation_27,request_7_7,conversation,10,1,8,31,39,385,232
conversation_28,request_2_2,conversation,10,1,8,22,30,385,232
conversation_29,request_1_1,conversation,10,1,7,28,35,386,232
conversation_30,request_9_9,conversation,10,1,8,29,37,385,232
conversation_31,request_2_3,conversation,10,2,13,54,67,810,232
conversation_32,request_5_6,conversation,10,2,15,61,76,810,232
conversation_33,request_1_2,conversation,10,2,14,52,66,811,232
conversation_34,request_6_7,conversation,10,2,16,56,72,810,232
conversation_35,request_4_5,conversation,10,2,15,62,77,810,232
conversation_36,request_7_9,conversation,10,3,20,97,117,1235,232
conversation_37,request_9_1,conversation,10,3,21,84,105,1238,232
conversation_38,request_1_3,conversation,10,3,21,78,99,1236,232
conversation_39,request_5_7,conversation,10,3,19,87,106,1235,232
conversation_40,request_6_8,conversation,10,3,20,90,110,1235,232
conversation_41,request_8_1,conversation,10,4,26,116,142,1663,232
conversation_42,request_4_7,conversation,10,4,25,117,142,1660,232
conversation_43,request_3_6,conversation,10,4,27,115,142,1660,232
conversation_44,request_6_9,conversation,10,4,26,118,144,1660,232
conversation_45,request_1_4,conversation,10,4,27,108,135,1661,232
conversation_46,request_5_9,conversation,10,5,33,149,182,2085,232
conversation_47,request_8_2,conversation,10,5,30,140,170,2088,232
conversation_48,request_6_10,conversation,10,5,31,148,179,2086,232
conversation_49,request_3_7,conversation,10,5,32,147,179,2085,232
conversation_50,request_4_8,conversation,10,5,32,147,179,2085,232
planning_51,request_5_5,conversation,10,1,8,31,39,385,232
planning_52,request_7_7,conversation,10,1,7,31,38,385,232
planning_53,request_2_2,conversation,10,1,7,22,29,385,232
planning_54,request_1_1,conversation,10,1,8,30,38,386,232
planning_55,request_9_9,conversation,10,1,9,31,40,385,232
planning_56,request_2_3,conversation,10,2,13,53,66,810,232
planning_57,request_5_6,conversation,10,2,14,57,71,810,232
planning_58,request_1_2,conversation,10,2,14,52,66,811,232
planning_59,request_6_7,conversation,10,2,14,57,71,810,232
planning_60,request_4_5,conversation,10,2,13,62,75,810,232
planning_61,request_7_9,conversation,10,3,20,89,109,1235,232
planning_62,request_9_1,conversation,10,3,19,94,113,1238,232
planning_63,request_1_3,conversation,10,3,20,86,106,1236,232
planning_64,request_5_7,conversation,10,3,20,94,114,1235,232
planning_65,request_6_8,conversation,10,3,19,95,114,1235,232
planning_66,request_8_1,conversation,10,4,28,124,152,1663,232
planning_67,request_4_7,conversation,10,4,24,126,150,1660,232
planning_68,request_3_6,conversation,10,4,27,119,146,1660,232
planning_69,request_6_9,conversation,10,4,26,120,146,1660,232
planning_70,request_1_4,conversation,10,4,26,117,143,1661,232
planning_71,request_5_9,conversation,10,5,31,151,182,2085,232
planning_72,request_8_2,conversation,10,5,31,158,189,2088,232
planning_73,request_6_10,conversation,10,5,31,153,184,2086,232
planning_74,request_3_7,conversation,10,5,32,156,188,2085,232
planning_75,request_4_8,conversation,10,5,32,157,189,2085,232
